product_id,product_name,category,subcategory,brand,unit_price,cost_price
PROD0001,UrbanNest Ceiling Fan 538,Home & Kitchen,Appliances,UrbanNest,939,649.13
PROD0002,LivWell Curtain Set 994,Home & Kitchen,Home Decor,LivWell,449,229.97
PROD0003,Chikoo Sandals 853,Fashion,Footwear,Chikoo,1189,576.67
PROD0004,UrbanThread Power Bank 760,Fashion,Accessories,UrbanThread,1679,880.33
PROD0005,ActiveEdge Sports Cap 147,Sports & Fitness,Sportswear,ActiveEdge,6849,3890.91
PROD0006,Zenith Laptop 337,Electronics,Laptops,Zenith,6819,4206.54
PROD0007,InkWell Publications Romance Novel 108,Books,Fiction,InkWell Publications,379,245.49
PROD0008,HomeCraft Wall Clock 994,Home & Kitchen,Home Decor,HomeCraft,13759,6908.21
PROD0009,PageTurner Press Business Book 795,Books,Non-Fiction,PageTurner Press,229,146.69
PROD0010,Samsonic Bluetooth Speaker 855,Electronics,Audio,Samsonic,14139,6006.62
PROD0011,PageTurner Press Business Book 315,Books,Non-Fiction,PageTurner Press,929,501.15
PROD0012,StorySpring Thriller Novel 622,Books,Fiction,StorySpring,1089,706.13
PROD0013,LivWell Curtain Set 459,Home & Kitchen,Home Decor,LivWell,719,362.43
PROD0014,Nexo Bluetooth Speaker 159,Electronics,Audio,Nexo,10729,5868.7
PROD0015,Trendify Men's Jacket 936,Fashion,Men,Trendify,3419,1698.77
PROD0016,Zenith Bluetooth Speaker 948,Electronics,Audio,Zenith,3379,1965.44
PROD0017,KitchenKing Microwave Oven 947,Home & Kitchen,Appliances,KitchenKing,10459,4584.99
PROD0018,InkWell Publications Workbook 418,Books,Education,InkWell Publications,429,213.31
PROD0019,PureSkin Kajal 891,Beauty,Makeup,PureSkin,669,466.6
PROD0020,FitPro Hiking Backpack 142,Sports & Fitness,Outdoor,FitPro,4419,2196.77
PROD0021,IronCore Sports Cap 254,Sports & Fitness,Sportswear,IronCore,10019,5984.23
PROD0022,PureSkin Sunscreen 230,Beauty,Skincare,PureSkin,2809,1779.31
PROD0023,LumiCare Conditioner 421,Beauty,Haircare,LumiCare,869,525.47
PROD0024,LumiCare Kajal 750,Beauty,Makeup,LumiCare,299,180.2
PROD0025,HomeCraft Cookware Set 288,Home & Kitchen,Kitchen,HomeCraft,2399,956.06
PROD0026,Zenith Case 437,Electronics,Accessories,Zenith,13349,8918.93
PROD0027,Trendify Formal Shoes 934,Fashion,Footwear,Trendify,1239,765.09
PROD0028,PeakGear Sports T-Shirt 542,Sports & Fitness,Sportswear,PeakGear,2549,1567.45
PROD0029,UrbanNest Study Table 239,Home & Kitchen,Furniture,UrbanNest,319,167.67
PROD0030,OmniTech Laptop 530,Electronics,Laptops,OmniTech,3489,1565.54
PROD0031,BrightMind Books Fantasy Novel 179,Books,Fiction,BrightMind Books,119,58.32
PROD0032,OmniTech Notebook 277,Electronics,Laptops,OmniTech,36499,18385.95
PROD0033,StyleHub Cable 365,Fashion,Accessories,StyleHub,449,295.94
PROD0034,GlowUp Compact Powder 831,Beauty,Makeup,GlowUp,3149,1283.69
PROD0035,Samsonic Cable 151,Electronics,Accessories,Samsonic,2379,1494.08
PROD0036,StyleHub Men's Shirt 352,Fashion,Men,StyleHub,2459,1036.66
PROD0037,NatureBloom Hair Oil 880,Beauty,Haircare,NatureBloom,1739,770.85
PROD0038,Voltek Smartphone 166,Electronics,Smartphones,Voltek,3539,2129.91
PROD0039,UrbanThread Women's Dress 979,Fashion,Women,UrbanThread,309,192.69
PROD0040,StyleHub Women's Kurti 909,Fashion,Women,StyleHub,599,409.88
PROD0041,Chikoo Women's Top 750,Fashion,Women,Chikoo,1999,1317.28
PROD0042,Skyline Phone 250,Electronics,Smartphones,Skyline,3069,1739.21
PROD0043,IronCore Camping Tent 291,Sports & Fitness,Outdoor,IronCore,8819,5280.36
PROD0044,ActiveEdge Yoga Mat 807,Sports & Fitness,Fitness,ActiveEdge,8129,4753.5
PROD0045,PeakGear Gym Shorts 974,Sports & Fitness,Sportswear,PeakGear,2459,1610.36
PROD0046,UrbanThread Women's Dress 170,Fashion,Women,UrbanThread,1819,719.83
PROD0047,ActiveEdge Track Pants 621,Sports & Fitness,Sportswear,ActiveEdge,869,428.62
PROD0048,IronCore Sports T-Shirt 316,Sports & Fitness,Sportswear,IronCore,319,160.96
PROD0049,StorySpring Self-Help Book 396,Books,Non-Fiction,StorySpring,169,82.11
PROD0050,TrailBlaze Gym Shorts 632 PROD0050,Sports & Fitness,Sportswear,TrailBlaze,3779,1382.22
PROD0051,OmniTech Power Bank 442,Electronics,Accessories,OmniTech,1219,544.16
PROD0052,BrightWave Phone 474,Electronics,Smartphones,BrightWave,38599,18042.62
PROD0053,Wardrobe Co. Charger 318,Fashion,Accessories,Wardrobe Co.,1949,1059.22
